tahun,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010,39,12,30,36,14,39,PM10,1,DKI1
2010,39,12,30,36,14,39,PM11,1,DKI2
2010,33,14,18,25,8,33,PM10,1,DKI1
2010,56,18,32,48,18,56,PM10,2,DKI1
2010,54,17,47,45,12,54,PM10,2,DKI1
2010,31,13,27,54,11,54,O3,2,DKI2
2010,49,14,30,36,16,49,PM10,1,DKI1
2010,69,13,23,80,14,80,O3,2,DKI3
2010,32,13,19,56,8,56,O3,2,DKI3
2010,50,15,28,78,14,78,O3,2,DKI2
2010,56,20,39,215,26,215,O3,4,DKI3
2010,56,20,30,126,20,126,O3,3,DKI3
2010,44,18,23,81,9,81,O3,2,DKI3
2010,43,16,28,123,18,123,O3,3,DKI2
2010,54,15,40,67,23,67,O3,2,DKI3
2010,51,19,30,130,17,130,O3,3,DKI3
2010,64,19,34,137,24,137,O3,3,DKI3
2010,61,17,55,136,17,136,O3,3,DKI3
2010,61,16,36,206,38,206,O3,4,DKI3
2010,68,20,49,148,28,148,O3,3,DKI4
2010,67,19,35,195,24,195,O3,3,DKI3
2010,68,18,36,154,22,154,O3,3,DKI3
2010,57,19,38,238,30,238,O3,4,DKI3
2010,69,18,39,112,24,112,O3,3,DKI3
2010,72,26,39,146,23,146,O3,3,DKI3
2010,52,17,28,190,19,190,O3,3,DKI3
2010,70,21,35,172,26,172,O3,3,DKI3
2010,62,17,49,189,23,189,O3,3,DKI3
2010,60,17,43,92,23,92,O3,2,DKI2
2010,67,19,37,93,26,93,O3,2,DKI1
2010,66,16,32,74,19,74,O3,2,DKI4
2010,58,17,26,80,12,80,O3,2,DKI3
2010,63,21,30,80,14,80,O3,2,DKI3
2010,68,31,34,82,14,82,O3,2,DKI3
2010,74,24,32,46,18,74,PM10,2,DKI4
2010,60,15,38,30,8,60,PM10,2,DKI4
2010,55,14,24,34,13,55,PM10,2,DKI4
2010,54,14,23,30,7,54,PM10,2,DKI4
2010,61,14,19,32,9,61,PM10,2,DKI4
2010,56,14,23,58,14,58,O3,2,DKI3
2010,63,16,23,50,9,63,PM10,2,DKI4
2010,54,13,20,38,12,54,PM10,2,DKI4
2010,56,13,21,43,15,56,PM10,2,DKI4
2010,67,16,22,83,15,83,O3,2,DKI3
2010,82,20,32,56,17,82,PM10,2,DKI4
2010,58,19,34,119,19,119,O3,3,DKI3
2010,41,19,27,44,15,44,O3,1,DKI3
2010,38,20,20,36,9,38,PM10,1,DKI1
2010,34,15,27,33,11,34,PM10,1,DKI3
2010,49,13,19,32,10,49,PM10,1,DKI3
2010,51,17,26,33,11,51,PM10,2,DKI3
2010,40,16,27,32,12,40,PM10,1,DKI3
2010,55,14,34,33,13,55,PM10,2,DKI4
2010,59,20,41,38,13,59,PM10,2,DKI4
2010,62,19,32,241,23,241,O3,4,DKI3
2010,65,28,27,80,15,80,O3,2,DKI3
2010,65,18,23,52,12,65,PM10,2,DKI3
2010,38,19,22,54,14,54,O3,2,DKI3
2010,45,15,23,57,17,57,O3,2,DKI4
2010,42,16,25,40,14,42,PM10,1,DKI3
2010,38,18,24,40,15,40,O3,1,DKI3
2010,33,19,21,34,15,34,O3,1,DKI2
2011,52,17,51,76,7,76,O3,2,DKI3
2011,35,15,15,47,11,47,O3,1,DKI1
2011,41,16,35,31,15,41,PM10,1,DKI1
2011,53,17,19,77,11,77,O3,2,DKI3
2011,59,12,21,61,12,61,O3,2,DKI3
2011,57,11,30,94,19,94,O3,2,DKI3
2011,57,17,28,67,19,67,O3,2,DKI3
2011,70,22,37,69,16,70,PM10,2,DKI3
2011,74,20,35,78,18,78,O3,2,DKI3
2011,55,19,21,89,13,89,O3,2,DKI3
2011,52,18,24,63,12,63,O3,2,DKI3
2011,60,20,28,58,15,60,PM10,2,DKI4
2011,71,16,28,73,18,73,O3,2,DKI3
2011,70,15,24,55,17,70,PM10,2,DKI3
2011,90,15,26,58,17,90,PM10,2,DKI3
2011,66,13,16,22,8,66,PM10,2,DKI4
2011,67,14,20,46,13,67,PM10,2,DKI4
2011,80,12,31,48,17,80,PM10,2,DKI3
2011,42,13,70,48,16,70,CO,2,DKI3
2011,49,16,26,44,16,49,PM10,1,DKI1
2011,50,13,43,55,21,55,O3,2,DKI3
2011,65,16,44,50,23,65,PM10,2,DKI4
2011,67,14,59,48,14,67,PM10,2,DKI4
2011,63,20,33,44,17,63,PM10,2,DKI4
2011,60,23,27,59,19,60,PM10,2,DKI4
2011,58,24,26,70,17,70,O3,2,DKI4
2011,94,20,26,40,19,94,PM10,2,DKI3
2011,68,14,38,37,16,68,PM10,2,DKI4
2011,48,14,23,45,12,48,PM10,1,DKI4
2011,56,16,25,42,13,56,PM10,2,DKI4
2011,47,14,22,24,8,47,PM10,1,DKI4
2011,56,20,22,29,11,56,PM10,2,DKI4
2011,60,18,29,45,16,60,PM10,2,DKI4
2011,50,16,24,48,12,50,PM10,1,DKI4
2011,49,16,27,42,16,49,PM10,1,DKI4
2011,56,14,44,51,19,56,PM10,2,DKI4
2011,38,15,21,38,16,38,PM10,1,DKI4
2011,51,16,24,37,16,51,PM10,2,DKI4
2011,57,17,38,53,18,57,PM10,2,DKI4
2011,55,19,30,70,22,70,O3,2,DKI4
2011,73,18,38,64,21,73,PM10,2,DKI4
2011,78,21,55,99,24,99,O3,2,DKI4
2011,81,17,79,85,18,85,O3,2,DKI3
2011,71,18,34,97,16,97,O3,2,DKI3
2011,62,12,39,49,18,62,PM10,2,DKI4
2011,55,15,53,52,20,55,PM10,2,DKI4
2011,65,16,39,47,22,65,PM10,2,DKI4
2011,59,22,33,61,18,61,O3,2,DKI3
2011,59,18,24,58,17,59,PM10,2,DKI4
2011,59,21,33,45,21,59,PM10,2,DKI4
2011,53,17,24,46,17,53,PM10,2,DKI4
2011,55,16,22,56,17,56,O3,2,DKI3
2011,68,15,47,52,19,68,PM10,2,DKI4
2011,63,15,27,59,17,63,PM10,2,DKI4
2011,47,6,23,47,19,47,PM10,1,DKI4
2011,61,9,23,42,18,61,PM10,2,DKI4
2011,62,14,24,44,18,62,PM10,2,DKI4
2011,55,15,38,27,22,55,PM10,2,DKI4
2011,52,16,33,22,16,52,PM10,2,DKI4
2011,40,14,26,42,8,42,O3,1,DKI2
2011,40,15,21,34,8,40,PM10,1,DKI4
2011,53,16,22,36,9,53,PM10,2,DKI4
2011,51,18,27,42,13,51,PM10,2,DKI4
2011,40,17,35,35,13,40,PM10,1,DKI4
2011,51,14,24,31,10,51,PM10,2,DKI4
2011,54,14,17,30,11,54,PM10,2,DKI4
2011,43,14,20,33,9,43,PM10,1,DKI4
2011,51,17,25,47,17,51,PM10,2,DKI4
2011,54,17,26,43,17,54,PM10,2,DKI4
2011,58,15,24,52,11,58,PM10,2,DKI4
2011,54,17,26,60,28,60,O3,2,DKI2
2011,67,17,25,47,15,67,PM10,2,DKI4
2011,68,15,47,31,17,68,PM10,2,DKI4
2011,71,16,25,72,17,72,O3,2,DKI2
2011,59,19,35,96,18,96,O3,2,DKI2
2011,67,19,54,111,21,111,O3,3,DKI3
2011,87,22,33,79,20,87,PM10,2,DKI4
2011,78,17,29,76,23,78,PM10,2,DKI4
2011,61,15,32,83,23,83,O3,2,DKI3
2011,52,13,20,38,11,52,PM10,2,DKI4
2011,52,15,22,33,9,52,PM10,2,DKI4
2011,51,15,22,26,9,51,PM10,2,DKI4
2011,47,14,18,26,8,47,PM10,1,DKI4
2011,47,14,22,35,14,47,PM10,1,DKI4
2011,51,13,22,38,8,51,PM10,2,DKI4
2011,55,13,19,33,15,55,PM10,2,DKI4
2011,44,13,15,29,13,44,PM10,1,DKI4
2011,45,13,16,25,8,45,PM10,1,DKI4
2011,49,14,19,28,8,49,PM10,1,DKI4
2011,42,14,21,24,7,42,PM10,1,DKI4
2011,45,14,20,21,8,45,PM10,1,DKI4
2011,48,15,24,26,6,48,PM10,1,DKI4
2011,52,14,13,28,7,52,PM10,2,DKI4
2011,50,15,23,39,12,50,PM10,1,DKI4
2011,59,14,21,42,15,59,PM10,2,DKI4
2011,52,14,19,38,8,52,PM10,2,DKI4
2011,57,15,20,36,12,57,PM10,2,DKI4
2011,55,18,24,44,15,55,PM10,2,DKI4
2011,50,21,33,44,14,50,PM10,1,DKI1
2011,39,16,23,49,19,49,O3,1,DKI2
2011,40,17,30,44,23,44,O3,1,DKI4
2011,72,22,35,90,19,90,O3,2,DKI2
2011,80,23,32,116,25,116,O3,3,DKI3
2011,65,22,35,74,26,74,O3,2,DKI2
2011,65,23,36,122,23,122,O3,3,DKI3
2011,84,18,29,171,34,171,O3,3,DKI3
2011,77,14,51,126,19,126,O3,3,DKI2
2011,64,15,29,124,26,124,O3,3,DKI3
2011,65,17,38,128,29,128,O3,3,DKI3
2011,77,23,30,89,19,89,O3,2,DKI2
2011,62,19,33,94,27,94,O3,2,DKI4
2011,66,16,26,125,22,125,O3,3,DKI1
2011,62,15,18,127,22,127,O3,3,DKI2
2011,64,15,27,83,16,83,O3,2,DKI1
2011,65,17,39,70,16,70,O3,2,DKI1
2011,71,24,27,62,15,71,PM10,2,DKI4
2011,68,25,43,71,22,71,O3,2,DKI1
2011,62,18,32,69,15,69,O3,2,DKI3
2011,77,19,27,76,20,77,PM10,2,DKI4
2011,74,19,42,78,23,78,O3,2,DKI1
2011,71,18,54,88,31,88,O3,2,DKI1
2011,61,19,35,98,29,98,O3,2,DKI4
2011,69,22,31,69,28,69,PM10,2,DKI1
2011,63,18,26,47,17,63,PM10,2,DKI4
2011,76,17,28,63,20,76,PM10,2,DKI4
2011,58,22,36,65,23,65,O3,2,DKI2
2011,63,22,38,66,14,66,O3,2,DKI4
2011,56,15,42,50,13,56,PM10,2,DKI4
2011,51,9,20,153,27,153,O3,3,DKI4
2011,78,20,29,137,24,137,O3,3,DKI3
2011,79,19,30,92,29,92,O3,2,DKI3
2011,84,19,32,82,20,84,PM10,2,DKI4
2011,59,18,35,87,18,87,O3,2,DKI1
2011,66,17,37,84,27,84,O3,2,DKI3
2011,66,16,31,99,20,99,O3,2,DKI3
2011,61,17,30,139,27,139,O3,3,DKI3
2011,63,23,30,133,21,133,O3,3,DKI3
2011,69,18,34,85,19,85,O3,2,DKI4
2011,89,20,43,88,22,89,PM10,2,DKI4
2011,68,20,36,107,19,107,O3,3,DKI3
2011,70,15,34,82,26,82,O3,2,DKI3
2011,84,11,38,78,11,84,PM10,2,DKI4
2011,75,15,32,140,30,140,O3,3,DKI3
2011,68,19,34,96,19,96,O3,2,DKI3
2011,64,21,37,113,22,113,O3,3,DKI3
2011,66,19,40,114,25,114,O3,3,DKI3
2011,72,21,37,95,18,95,O3,2,DKI3
2011,86,21,35,111,17,111,O3,3,DKI3
2011,97,23,31,107,17,107,O3,3,DKI3
2011,92,20,32,98,21,98,O3,2,DKI3
2011,81,21,35,93,26,93,O3,2,DKI2
2011,91,21,70,82,23,91,PM10,2,DKI4
2011,68,17,25,65,13,68,PM10,2,DKI4
2011,65,19,18,50,10,65,PM10,2,DKI4
2011,73,21,17,56,11,73,PM10,2,DKI4
2011,77,17,28,54,15,77,PM10,2,DKI4
2011,70,17,37,81,21,81,O3,2,DKI4
2011,66,15,41,92,20,92,O3,2,DKI3
2011,90,20,35,85,31,90,PM10,2,DKI4
2011,82,15,37,121,27,121,O3,3,DKI3
2011,71,18,32,93,19,93,O3,2,DKI3
2011,65,22,39,94,20,94,O3,2,DKI3
2011,93,21,29,84,25,93,PM10,2,DKI4
2011,63,18,29,91,20,91,O3,2,DKI3
2011,88,23,27,93,20,93,O3,2,DKI4
2011,104,23,41,137,23,137,O3,3,DKI2
2011,110,23,35,103,19,110,PM10,3,DKI4
2011,105,20,34,81,24,105,PM10,3,DKI4
2011,85,15,24,128,20,128,O3,3,DKI3
2011,108,12,29,119,25,119,O3,3,DKI3
2011,109,13,32,88,27,109,PM10,3,DKI4
2011,97,19,30,82,26,97,PM10,2,DKI4
2011,112,22,29,92,21,112,PM10,3,DKI4
2011,109,13,29,94,39,109,PM10,3,DKI4
2011,107,16,29,85,16,107,PM10,3,DKI4
2011,87,11,27,79,13,87,PM10,2,DKI4
2011,103,12,19,73,13,103,PM10,3,DKI4
